2026-06-30 18:43:01,679 | bronze.insert_query | INFO | [bronze.production] Inserted 20 rows.
2026-06-30 18:43:15,033 | bronze.insert_query | INFO | [production] Logged pipeline run 8114786a-72c6-4808-bbcc-6c874bf11474 (failed)
2026-06-30 18:43:20,757 | bronze.insert_query | ERROR | [insert_dataframe] Failed to insert into bronze.rainfall: 'Area'
2026-06-30 18:43:31,835 | bronze.insert_query | INFO | [rainfall] Logged pipeline run 8114786a-72c6-4808-bbcc-6c874bf11474 (failed)
2026-06-30 18:58:10,012 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
2026-06-30 18:58:21,026 | bronze.insert_query | INFO | [production] Logged pipeline run eab79dd8-c3c8-4906-b7e0-206c4dd33e5d (failed)
2026-06-30 18:58:26,983 | bronze.insert_query | ERROR | [insert_dataframe] Failed to insert into bronze.rainfall: 'Area'
2026-06-30 18:58:38,067 | bronze.insert_query | INFO | [rainfall] Logged pipeline run eab79dd8-c3c8-4906-b7e0-206c4dd33e5d (failed)
2026-06-30 18:58:44,139 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.temperature'. Available: ['bronze.rainfall']
2026-06-30 18:58:55,261 | bronze.insert_query | INFO | [temperature] Logged pipeline run eab79dd8-c3c8-4906-b7e0-206c4dd33e5d (failed)
2026-06-30 18:59:01,125 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production_coded'. Available: ['bronze.rainfall']
2026-06-30 18:59:12,501 | bronze.insert_query | INFO | [production_coded] Logged pipeline run eab79dd8-c3c8-4906-b7e0-206c4dd33e5d (failed)
2026-06-30 18:59:18,338 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.crop_analytics'. Available: ['bronze.rainfall']
2026-06-30 18:59:29,653 | bronze.insert_query | INFO | [crop_analytics] Logged pipeline run eab79dd8-c3c8-4906-b7e0-206c4dd33e5d (failed)
2026-06-30 19:02:20,460 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
2026-06-30 19:02:31,640 | bronze.insert_query | INFO | [production] Logged pipeline run 073e5ec6-b652-41b4-af46-1aa0161ddd47 (failed)
2026-06-30 19:02:56,257 | bronze.insert_query | ERROR | [insert_dataframe] Failed to insert into bronze.rainfall: 'Area'
2026-06-30 19:03:07,526 | bronze.insert_query | INFO | [rainfall] Logged pipeline run 073e5ec6-b652-41b4-af46-1aa0161ddd47 (failed)
2026-06-30 19:03:33,770 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.temperature'. Available: ['bronze.rainfall']
2026-06-30 19:03:44,787 | bronze.insert_query | INFO | [temperature] Logged pipeline run 073e5ec6-b652-41b4-af46-1aa0161ddd47 (failed)
2026-06-30 19:04:06,140 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production_coded'. Available: ['bronze.rainfall']
2026-06-30 19:04:17,404 | bronze.insert_query | INFO | [production_coded] Logged pipeline run 073e5ec6-b652-41b4-af46-1aa0161ddd47 (failed)
2026-06-30 19:04:52,484 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.crop_analytics'. Available: ['bronze.rainfall']
2026-06-30 19:05:03,551 | bronze.insert_query | INFO | [crop_analytics] Logged pipeline run 073e5ec6-b652-41b4-af46-1aa0161ddd47 (failed)
2026-06-30 19:07:20,862 | bronze.insert_query | ERROR | [insert_dataframe] Validation error: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
