2026-06-30 18:18:20,946 | bronze.loader | INFO | Table 'bronze.production' already exists.
2026-06-30 18:22:20,785 | bronze.loader | INFO | Table 'bronze.production' already exists.
2026-06-30 18:24:00,431 | bronze.loader | INFO | Table 'bronze.production' already exists.
2026-06-30 18:27:56,225 | bronze.loader | INFO | Table 'bronze.production' already exists.
2026-06-30 18:28:03,884 | bronze.loader | INFO | Table 'bronze.production' already exists.
2026-06-30 18:42:30,278 | bronze.loader | INFO | Table 'bronze.production' not found — running migration...
2026-06-30 18:42:33,266 | bronze.loader | INFO | Migration executed from: D:\Folder-for git upload\All Git Projects for ETL\Agricultural_Analytics_Platform\db\migrations\bronze_tables.sql
2026-06-30 18:42:35,066 | bronze.loader | INFO | Table 'bronze.production' created successfully.
2026-06-30 18:43:09,272 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 18:43:20,461 | bronze.loader | INFO | Table 'bronze.rainfall' already exists.
2026-06-30 18:43:26,271 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 18:43:37,492 | bronze.loader | INFO | Table 'bronze.temperature' already exists.
2026-06-30 18:58:09,724 | bronze.loader | INFO | Table 'bronze.production' already exists.
2026-06-30 18:58:15,464 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 18:58:26,670 | bronze.loader | INFO | Table 'bronze.rainfall' already exists.
2026-06-30 18:58:32,304 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 18:58:43,822 | bronze.loader | INFO | Table 'bronze.temperature' already exists.
2026-06-30 18:58:49,528 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 18:59:00,819 | bronze.loader | INFO | Table 'bronze.production_coded' already exists.
2026-06-30 18:59:06,795 | bronze.loader | INFO | Table 'bronze.pipeline_run_log' already exists.
2026-06-30 18:59:18,018 | bronze.loader | INFO | Table 'bronze.crop_analytics' already exists.
