2026-06-30 21:29:32,114 | bronze_pipeline | INFO | [production] Starting ingestion
2026-06-30 21:29:38,064 | bronze_pipeline | ERROR | [production] Failed: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
2026-06-30 21:29:48,804 | bronze_pipeline | INFO | [rainfall] Starting ingestion
2026-06-30 21:31:12,316 | bronze_pipeline | INFO | [production] Starting ingestion
2026-06-30 21:31:17,936 | bronze_pipeline | ERROR | [production] Failed: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
2026-06-30 21:31:23,394 | bronze_pipeline | INFO | [production] Starting ingestion
2026-06-30 21:31:24,046 | bronze_pipeline | INFO | [production] Starting ingestion
2026-06-30 21:31:28,721 | bronze_pipeline | INFO | [rainfall] Starting ingestion
2026-06-30 21:31:29,171 | bronze_pipeline | ERROR | [production] Failed: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
2026-06-30 21:31:29,786 | bronze_pipeline | ERROR | [production] Failed: No preparer registered for table: 'bronze.production'. Available: ['bronze.rainfall']
2026-06-30 21:31:40,136 | bronze_pipeline | INFO | [rainfall] Starting ingestion
2026-06-30 21:31:40,744 | bronze_pipeline | INFO | [rainfall] Starting ingestion
2026-06-30 21:31:59,372 | bronze_pipeline | ERROR | [rainfall] Failed: 'Logger' object has no attribute 'i'
2026-06-30 21:32:10,361 | bronze_pipeline | INFO | [temperature] Starting ingestion
2026-06-30 21:32:14,093 | bronze_pipeline | ERROR | [rainfall] Failed: 'Logger' object has no attribute 'i'
2026-06-30 21:32:14,187 | bronze_pipeline | ERROR | [rainfall] Failed: 'Logger' object has no attribute 'i'
2026-06-30 21:32:16,084 | bronze_pipeline | ERROR | [temperature] Failed: No preparer registered for table: 'bronze.temperature'. Available: ['bronze.rainfall']
2026-06-30 21:32:24,887 | bronze_pipeline | INFO | [temperature] Starting ingestion
2026-06-30 21:32:25,031 | bronze_pipeline | INFO | [temperature] Starting ingestion
2026-06-30 21:32:26,813 | bronze_pipeline | INFO | [production_coded] Starting ingestion
2026-06-30 21:32:30,383 | bronze_pipeline | ERROR | [temperature] Failed: No preparer registered for table: 'bronze.temperature'. Available: ['bronze.rainfall']
2026-06-30 21:32:30,667 | bronze_pipeline | ERROR | [temperature] Failed: No preparer registered for table: 'bronze.temperature'. Available: ['bronze.rainfall']
2026-06-30 21:32:32,485 | bronze_pipeline | ERROR | [production_coded] Failed: No preparer registered for table: 'bronze.production_coded'. Available: ['bronze.rainfall']
2026-06-30 21:32:41,548 | bronze_pipeline | INFO | [production_coded] Starting ingestion
2026-06-30 21:32:41,593 | bronze_pipeline | INFO | [production_coded] Starting ingestion
2026-06-30 21:32:43,208 | bronze_pipeline | INFO | [crop_analytics] Starting ingestion
2026-06-30 21:32:47,213 | bronze_pipeline | ERROR | [production_coded] Failed: No preparer registered for table: 'bronze.production_coded'. Available: ['bronze.rainfall']
2026-06-30 21:32:47,351 | bronze_pipeline | ERROR | [production_coded] Failed: No preparer registered for table: 'bronze.production_coded'. Available: ['bronze.rainfall']
2026-06-30 21:32:48,826 | bronze_pipeline | ERROR | [crop_analytics] Failed: No preparer registered for table: 'bronze.crop_analytics'. Available: ['bronze.rainfall']
2026-06-30 21:32:58,089 | bronze_pipeline | INFO | [crop_analytics] Starting ingestion
