year,country,avg_temp
1849,Côte D'Ivoire,25.58
1850,Côte D'Ivoire,25.52
1851,Côte D'Ivoire,25.67
1852,Côte D'Ivoire,
1853,Côte D'Ivoire,
1854,Côte D'Ivoire,
1855,Côte D'Ivoire,
1856,Côte D'Ivoire,26.28
1857,Côte D'Ivoire,25.17
1858,Côte D'Ivoire,25.49
1859,Côte D'Ivoire,25.92
1860,Côte D'Ivoire,25.46
1861,Côte D'Ivoire,25.67
1862,Côte D'Ivoire,25.17
1863,Côte D'Ivoire,
1864,Côte D'Ivoire,
1865,Côte D'Ivoire,
1866,Côte D'Ivoire,
1867,Côte D'Ivoire,
1868,Côte D'Ivoire,
1869,Côte D'Ivoire,
1870,Côte D'Ivoire,
1871,Côte D'Ivoire,
1872,Côte D'Ivoire,
1873,Côte D'Ivoire,25.62
1874,Côte D'Ivoire,25.68
1875,Côte D'Ivoire,25.25
