Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1961,1961,hg/ha,14000
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1962,1962,hg/ha,14000
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1963,1963,hg/ha,14260
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1964,1964,hg/ha,14257
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1965,1965,hg/ha,14400
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1966,1966,hg/ha,14400
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1967,1967,hg/ha,14144
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1968,1968,hg/ha,17064
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1969,1969,hg/ha,17177
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1970,1970,hg/ha,14757
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1971,1971,hg/ha,13400
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1972,1972,hg/ha,15652
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1973,1973,hg/ha,16170
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1974,1974,hg/ha,16170
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1975,1975,hg/ha,16116
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1976,1976,hg/ha,16598
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1977,1977,hg/ha,15833
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1978,1978,hg/ha,16183
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1979,1979,hg/ha,16102
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1980,1980,hg/ha,16711
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1981,1981,hg/ha,16690
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1982,1982,hg/ha,16658
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1983,1983,hg/ha,16641
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1984,1984,hg/ha,16612
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1985,1985,hg/ha,16652
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1986,1986,hg/ha,16875
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1987,1987,hg/ha,17020
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1988,1988,hg/ha,17034
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1989,1989,hg/ha,16963
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1990,1990,hg/ha,17582
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1991,1991,hg/ha,16800
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1992,1992,hg/ha,15000
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1993,1993,hg/ha,16786
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1994,1994,hg/ha,16667
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1995,1995,hg/ha,16563
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1996,1996,hg/ha,16364
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1997,1997,hg/ha,15000
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1998,1998,hg/ha,16500
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,1999,1999,hg/ha,15000
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,2000,2000,hg/ha,11979
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,2001,2001,hg/ha,20000
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,2002,2002,hg/ha,29800
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,2003,2003,hg/ha,8400
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,2004,2004,hg/ha,16000
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,2005,2005,hg/ha,12069
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,2006,2006,hg/ha,26204
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,2007,2007,hg/ha,26277
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,2008,2008,hg/ha,26277
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,2009,2009,hg/ha,21429
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,2010,2010,hg/ha,16448
QC,Crops,2,Afghanistan,5419,Yield,56,Maize,2011,2011,hg/ha,16400
