,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
0,Albania,Maize,1990,36613,1485,121,16.37
1,Albania,Potatoes,1990,66667,1485,121,16.37
2,Albania,"Rice, paddy",1990,23333,1485,121,16.37
3,Albania,Sorghum,1990,12500,1485,121,16.37
4,Albania,Soybeans,1990,7000,1485,121,16.37
5,Albania,Wheat,1990,30197,1485,121,16.37
6,Albania,Maize,1991,29068,1485,121,15.36
7,Albania,Potatoes,1991,77818,1485,121,15.36
8,Albania,"Rice, paddy",1991,28538,1485,121,15.36
9,Albania,Sorghum,1991,6667,1485,121,15.36
10,Albania,Soybeans,1991,6066,1485,121,15.36
11,Albania,Wheat,1991,20698,1485,121,15.36
12,Albania,Maize,1992,24876,1485,121,16.06
13,Albania,Potatoes,1992,82920,1485,121,16.06
14,Albania,"Rice, paddy",1992,40000,1485,121,16.06
15,Albania,Sorghum,1992,3747,1485,121,16.06
